Auteur,Date,Commentaire,Note
Bruno | Homme | France | 16/09/2024,2024-09-16T20:16:16+0200,Très bien pour une initiation au running,5/5
Karine | France | 15/09/2024,2024-09-15T19:23:59+0200,Légère et bon amorti,5/5
Muriel | France | 15/09/2024,2024-09-15T11:20:36+0200,"confortable, pour la marche, légère. bon amorti.",5/5
Michel | Femme | France | 14/09/2024,2024-09-14T19:22:52+0200,je connais ces chaussures et c'est la 2ème paire que j'achète. Elles me servent principalement pour marcher dans des terrains plutôt caillouteux. j'en suis très contente.,4/5
RICHARD | France | 14/09/2024,2024-09-14T19:14:27+0200,Excellent rapport qualité prix. Très bon produit,5/5
linda | France | 14/09/2024,2024-09-14T19:10:43+0200,Par temps de pluie elles glissent dommage à voir dans le temps pour la qualité car je marche énormément,5/5
Patricia | France | 14/09/2024,2024-09-14T19:06:30+0200,très confortable,5/5
dominique | France | 13/09/2024,2024-09-13T17:26:59+0200,j'utilise ces chaussures pour ma vie de tous les jours,4/5
Corinne | Femme | France | 13/09/2024,2024-09-13T13:54:05+0200,C'est la 2ème paires que j'achète je les trouve très bien et confortables 😊,5/5
Sylvie | Femme | France | 13/09/2024,2024-09-13T10:19:21+0200,Basket de très bonne qualité agréable a porté,5/5
Delphine | France | 13/09/2024,2024-09-13T09:45:47+0200,très confortables,5/5
GERALDINE | France | 13/09/2024,2024-09-13T08:45:06+0200,Chaussures très confortable.,5/5
david | France | 11/09/2024,2024-09-11T21:49:06+0200,Très bonne chaussure de running pour ma fille de 14 ans !,5/5
Christelle | France | 11/09/2024,2024-09-11T17:03:50+0200,"Bonjour, Ces chaussures n'auront durée que 8 semaines avant de laisser apparaître un trou au niveau du gros orteil. Produit de mauvaise qualité",1/5
Delphine | France | 09/09/2024,2024-09-09T16:44:07+0200,"pratique au Quotidien, semelle anti-glisse appréciable",5/5
JACKIE | France | 08/09/2024,2024-09-08T17:42:06+0200,parfait pour courir avec mon chien,5/5
Ludivine | France | 10/09/2024,2024-09-10T11:57:23+0200,RAS,3/5
Christelle | France | 08/09/2024,2024-09-08T13:41:53+0200,très agréable,5/5
Camille | France | 08/09/2024,2024-09-08T12:45:15+0200,"Pas très cher mais pas adapté pour du running, douleurs au talon, peu d’amorti",2/5
Sandrine | France | 08/09/2024,2024-09-08T12:29:28+0200,confortables et look sympa,5/5
MANUEL | Homme | France | 08/09/2024,2024-09-08T10:29:34+0200,Super,5/5
Françoise | France | 07/09/2024,2024-09-07T13:53:10+0200,Produit au top pour la marche,5/5
REGINE | France | 06/09/2024,2024-09-06T16:38:41+0200,Très confortable pour tous les jours,5/5
ISABELLE | France | 05/09/2024,2024-09-05T20:26:29+0200,Elles sont agréables à porter et légères,4/5
FRANCOISE | France | 05/09/2024,2024-09-05T13:04:14+0200,Chaussures très légères et confortables.,5/5
Amanda | Femme | France | 04/09/2024,2024-09-04T21:37:55+0200,Très satisfaite et 2eme fois en 5 ans que je les rachète,5/5
Stéphanie | Femme | France | 04/09/2024,2024-09-04T19:50:10+0200,Achetées pour courir occasionnellement. Donc très peu portées et commencent déjà à se trouer au bout du pied…,3/5
Cecile | France | 03/09/2024,2024-09-03T18:35:35+0200,Très bon produit . Bon rapport qualité prix.,5/5
MARYSE | France | 02/09/2024,2024-09-02T20:05:09+0200,"Utilisées pour m'entrainer en endurance et en vitesse sur tapis; Confortable, bon amorti",4/5
Marie-Laure | France | 01/09/2024,2024-09-01T16:14:16+0200,"semelle avec accroche, idéal pour tout terrain",5/5
Sandrine | France | 03/09/2024,2024-09-03T15:21:09+0200,Pour sport en extérieur,5/5
Florent | Homme | France | 31/08/2024,2024-08-31T09:30:10+0200,Choisies par ma fille elle ne les quittent plus,5/5
CHANTAL | France | 30/08/2024,2024-08-30T14:33:26+0200,Bon rapport qualité prix,5/5
Sylvie | France | 29/08/2024,2024-08-29T20:42:03+0200,"Produit peu cher mais qui ne durera pas dans le temps si vous marchez tous les jours. Je ne le recommande pas dans ce cas là. Le renfort du bout n'étant pas assez étendu, la toile commence déjà à se percer...dommage, elles sont vraiment confortables.",3/5
CEDRIC | France | 29/08/2024,2024-08-29T18:59:58+0200,très confortable et légère. je recommande,5/5
Sophie | Femme | France | 29/08/2024,2024-08-29T13:42:16+0200,Très confortable,5/5
XAVIER | Femme | France | 29/08/2024,2024-08-29T07:23:47+0200,correspond aux attentes pour le prix.,4/5
ALBANE | France | 28/08/2024,2024-08-28T19:47:11+0200,Très bon produit ! Satisfaite !,5/5
SYLVIE | France | 30/08/2024,2024-08-30T13:14:46+0200,"Je suis déçu par cet article , j’ai un problème de nevrome de Morton et malheureusement avec ses chaussures il est impossible pour moi de faire des randonnées dans de bonnes conditions",5/5
brigitte | France | 28/08/2024,2024-08-28T07:59:11+0200,Confortable,5/5
Celine | France | 25/08/2024,2024-08-25T19:14:42+0200,Pour moi un classique,5/5
Carole | France | 25/08/2024,2024-08-25T18:16:37+0200,"Bon amorti, bon design, bon rapport qualité prix. Couleur sympa. Seul bémol: ne conviennent pas quand il fait humide.",5/5
MONIQUE | France | 25/08/2024,2024-08-25T17:03:58+0200,"Basket agréable à porter, couleur sympa",4/5
Alexandre | France | 25/08/2024,2024-08-25T10:28:00+0200,Très bon produit,5/5
Martine | France | 27/08/2024,2024-08-27T17:11:42+0200,La Pointure ne correspond pas. Trop juste... J'ai dû prendre la taille supérieure... Cela reste un bon produit à voir dans la durée,4/5
Christelle | France | 25/08/2024,2024-08-25T08:51:42+0200,"Bon maintien, souple et très légère",4/5
Beatrice | France | 24/08/2024,2024-08-24T22:00:51+0200,Bon produit agréable à porter,5/5
SANDRINE | France | 24/08/2024,2024-08-24T20:05:08+0200,"jolie, le confort ok, légère mais semelles glissantes sur sol humide comme certains trottoirs, pavés et carrelage,donc je ne recommande pas",5/5
Orianne | France | 24/08/2024,2024-08-24T19:29:00+0200,"Chaussures légères, souplesse et confortables pour la marche en ville principalement.",5/5
ANNABELLE | France | 24/08/2024,2024-08-24T18:19:13+0200,Chaussures adaptées au sport pratiqué ( marche),4/5
Marie Jose | France | 26/08/2024,2024-08-26T14:40:47+0200,Rad,5/5
Magalie | France | 23/08/2024,2024-08-23T05:17:51+0200,Niquel je les utilise pour le travail.,5/5
Stephane | Femme | France | 21/08/2024,2024-08-21T20:04:51+0200,Bon produit,5/5
Fabienne | France | 21/08/2024,2024-08-21T14:27:48+0200,"Chaussures confortables et légères, parfait pour de la rando sur terrain semi accidenté, en période estivale et par temps sec",5/5
Denis | France | 20/08/2024,2024-08-20T23:34:57+0200,Ras,4/5
Christelle | France | 20/08/2024,2024-08-20T20:47:38+0200,Très bon produit,5/5
Anne Marie | France | 19/08/2024,2024-08-19T13:36:19+0200,Très agréable à porter comme des pantoufles.,4/5
LAURENT | Homme | France | 19/08/2024,2024-08-19T09:17:53+0200,bon rapport qualité prix,4/5
Sylvie | France | 18/08/2024,2024-08-18T21:29:08+0200,très satisfaite de mon achat,5/5
FRANCK | France | 18/08/2024,2024-08-18T20:49:59+0200,Très bien,5/5
Solenne | Femme | France | 18/08/2024,2024-08-18T16:50:06+0200,Chaussures utilisées pour de la balade  Satisfaite de mon achat,5/5
SOPHIE | France | 16/08/2024,2024-08-16T18:42:57+0200,"Très légère, poids et température lorsqu'il fait chaud.",5/5
Jean-luc | France | 16/08/2024,2024-08-16T08:03:01+0200,je recommande,4/5
Brigitte | France | 15/08/2024,2024-08-15T11:11:02+0200,bien correct,4/5
Aleth Angèle | Femme | France | 15/08/2024,2024-08-15T02:27:32+0200,"Il est parfait, je me sans super a l'aise et vous le conseil. Je suis à ma deuxième paire",5/5
STANISLAS | Homme | France | 14/08/2024,2024-08-14T13:23:01+0200,On s’y sent comme dans des chaussons,5/5
Nina | France | 14/08/2024,2024-08-14T12:13:38+0200,Je les utilise pour du renfo et cardio en intérieur. Elles sont confortables et tiennent bien,5/5
Sandy | France | 14/08/2024,2024-08-14T00:10:57+0200,Très bien pour le dpirt en salle de ma fille,5/5
Olivier | France | 13/08/2024,2024-08-13T20:52:49+0200,Baskets au rapport qualité prix imbattable,5/5
Corinne | Femme | France | 12/08/2024,2024-08-12T14:47:20+0200,"elles sont très agréables à porter, la semelle crantée accroche bien mais je n'aime pas trop le système d'attaches en ruban qui remplace les œillets percés directement dans la chaussure et j'aurais aimé que la languette monte un peu plus sur le pied : quand je fais mes lacets ils se prennent dans la languette.",4/5
Rodolphe | Femme | France | 11/08/2024,2024-08-11T12:06:58+0200,bonne résistance aux différents terrains et activité,4/5
jolene | France | 10/08/2024,2024-08-10T18:50:20+0200,Paire utilisée pour de la zumba et ça convient très bien,4/5
Carine | France | 09/08/2024,2024-08-09T13:26:15+0200,les chaussures rétrécissent au soleil. mes orteils touchentle bout je ne peux plus les mettre après quelques heures passées a marché au soleil.,1/5
Mathilde | France | 09/08/2024,2024-08-09T07:49:56+0200,Très bien,4/5
Laurence | Femme | France | 08/08/2024,2024-08-08T19:47:23+0200,Basket légère et très confortable !,5/5
SYLVIE | France | 08/08/2024,2024-08-08T11:45:45+0200,TRES BON PRODUIT,5/5
PHILIPPE | France | 08/08/2024,2024-08-08T00:43:22+0200,Bon rapport qualité prix je recommande,4/5
Sandra | France | 07/08/2024,2024-08-07T19:19:51+0200,Très bon produit,5/5
Catherine | France | 07/08/2024,2024-08-07T17:53:51+0200,Première paire de baskets achetée . Et très satisfaite de mon achat,5/5
Nathalie | Femme | France | 07/08/2024,2024-08-07T01:23:23+0200,"C'est la 2ème fois que j'achète ce modèle : anti-transpirant, léger, très bonne semelle. Je recommande !",5/5
Sabine | France | 06/08/2024,2024-08-06T22:31:22+0200,Très satisfaite!!,5/5
Nathalie | France | 06/08/2024,2024-08-06T13:39:59+0200,Super produit,5/5
Natacha | Femme | France | 06/08/2024,2024-08-06T12:57:16+0200,"Je débute en running. Sans vouloir prendre le 1re prix et sans besoin d’investir dans des chaussures trop onéreuses, cette paire est un bon compromis. On ressent bien l’amorti au sol. Pas de douleurs, ni aux pieds, ni aux genoux.",5/5
Fabien | France | 06/08/2024,2024-08-06T09:15:53+0200,Qualité prix au top,4/5
Perrine | Femme | France | 06/08/2024,2024-08-06T09:13:07+0200,Légères et pratiques,4/5
RICHARD | Femme | France | 04/08/2024,2024-08-04T10:54:34+0200,C la deuxième paire que j'achète car j'en suis très contente très confortable,5/5
ROBERT | Femme | France | 03/08/2024,2024-08-03T23:08:23+0200,"Une chaussure qui convient parfaitement à ma forme de pied, j'en ai plusieurs que j'utilise quotidiennement, pour le sport comme pour le loisir.",5/5
Alice | France | 03/08/2024,2024-08-03T17:06:25+0200,Très satisfaite de ces chaussures pour une pratique régulière du running sur chemin . Très bon rapport qualité prix.,5/5
Veronique | France | 03/08/2024,2024-08-03T07:44:58+0200,Bon produit,5/5
KILLIAN | France | 02/08/2024,2024-08-02T21:28:47+0200,Top,5/5
KILLIAN | France | 02/08/2024,2024-08-02T20:07:09+0200,Top,5/5
Aimie | Femme | France | 01/08/2024,2024-08-01T10:00:54+0200,Déjà ma deuxième paire achetée ! Pas utilisée pour courir mais pour promener le chien plusieurs fois par jour. De vrais chaussons mais j ai un petit doute concernant l amorti pour courir,5/5
Philippe | France | 31/07/2024,2024-07-31T21:42:42+0200,Bon produit pour debutant,5/5
CARLOS | France | 31/07/2024,2024-07-31T09:17:18+0200,Légère et agréable pour une reprise.,4/5
Valérie | France | 30/07/2024,2024-07-30T22:59:18+0200,J'aime son look et son confort,5/5
Carine | France | 01/08/2024,2024-08-01T11:52:18+0200,Pas adapté à mon utilisation (course à pied / trail) dessus,3/5
Michele | France | 30/07/2024,2024-07-30T19:03:35+0200,Des années que j'utilise tout les jours mes baskets 7km par jour toujours les mêmes,5/5
Christine | France | 29/07/2024,2024-07-29T22:36:14+0200,Taille petit,5/5
Matthieu | France | 31/07/2024,2024-07-31T14:40:29+0200,"J'utilise ces baskets pour de la marche active en ville (environ 140km/mois) et du fitness : achetée en mai dernier, la semelle est déjà bien usée donc ce sont de bonnes chaussures mais pour des entrées de gamme à 40€ et destinées au trail, je trouve que c'est vraiment juste en terme de longévité.",5/5
Dominique | France | 28/07/2024,2024-07-28T22:14:58+0200,Très confortable,4/5
Pierre | France | 26/07/2024,2024-07-26T07:19:34+0200,super,5/5
Céline | France | 25/07/2024,2024-07-25T20:25:44+0200,Les chaussures sont agréables à porter et légères.,4/5
Isabelle | France | 25/07/2024,2024-07-25T19:46:43+0200,"je prends ses baskets pour ma fille pour le sport qu'elle pratique au lycée et en dehors , baskets qui tiennent dans le temps, le bémol tarif qui a augmenté par rapport à l'an dernier de 5euros",5/5
Virginie | France | 25/07/2024,2024-07-25T17:09:31+0200,"Idéale ,bon amorti",5/5
Céline | France | 24/07/2024,2024-07-24T19:53:02+0200,RAS,4/5
AURELIE | France | 24/07/2024,2024-07-24T08:57:41+0200,Design bien mais pas assez rigide au niveau du talon cheville.,3/5
patricia | France | 23/07/2024,2024-07-23T22:48:33+0200,Légère et confortable,4/5
Pascal | France | 23/07/2024,2024-07-23T18:11:32+0200,Parfait,5/5
Joël | Femme | France | 23/07/2024,2024-07-23T15:39:52+0200,Bonne qualité,5/5
Martine | France | 23/07/2024,2024-07-23T07:21:43+0200,Bonne accroche sur tout terrain me convient très bien,5/5
Lydia | France | 25/07/2024,2024-07-25T12:36:14+0200,Bien,5/5
Cédric | France | 25/07/2024,2024-07-25T12:35:57+0200,Ma fille est enchantée,5/5
Roxane | France | 22/07/2024,2024-07-22T18:23:57+0200,très bien,5/5
FRANCK | Homme | France | 22/07/2024,2024-07-22T16:59:19+0200,tres bon rapport qualité prix. Tres bien pour des randonnées simples et occasionnelles,5/5
Kathy | Femme | France | 25/07/2024,2024-07-25T12:15:58+0200,Paire achetée en février 2024 et début juin 2024 le tissu est déjà troué à plusieurs endroits et les crampons ont quasiment disparu.  A acheter si vous ne faites pas de sport au final,2/5
farida | France | 22/07/2024,2024-07-22T10:53:22+0200,Semelle un peu glissante au sol,5/5
SEBASTIEN | France | 22/07/2024,2024-07-22T02:13:38+0200,Bonne chaussure,5/5
Eric | France | 21/07/2024,2024-07-21T09:27:46+0200,Très confortables,4/5
Jean-luc | Homme | France | 23/07/2024,2024-07-23T12:01:18+0200,basic,4/5
Rahimina | France | 20/07/2024,2024-07-20T18:48:22+0200,bon produit,4/5
Valerie | France | 20/07/2024,2024-07-20T18:23:43+0200,"Teste que sur 2 km 😃 Sinon pratique de la marche, gym tonic, Zumba",5/5
SANDRINE | France | 20/07/2024,2024-07-20T07:35:07+0200,super achat j'en suis pleinement satisfaite je recommande fortement ces baskets,5/5
Patricia | France | 22/07/2024,2024-07-22T17:47:52+0200,"Très satisfaite de mes baskets. Aimerai des couleurs fluo, orange, jaune...",5/5
Marine  | France | 19/07/2024,2024-07-19T14:15:44+0200,confortable pour les activités l'été,5/5
Elodie | Femme | France | 19/07/2024,2024-07-19T10:00:45+0200,Confortable résistante bon maintien,5/5
Lydie | France | 18/07/2024,2024-07-18T08:50:59+0200,Excellent produit très confortable,5/5
Monique | France | 17/07/2024,2024-07-17T18:56:31+0200,Très contente de mon achat,5/5
Cindy | France | 17/07/2024,2024-07-17T17:12:23+0200,Bon article avec bon rapport qualité prix,4/5
PHILIPPE | France | 17/07/2024,2024-07-17T08:11:00+0200,Confortable,4/5
Virginie | France | 17/07/2024,2024-07-17T07:26:53+0200,Basique mais pratique pour commencer la course à pied,4/5
Clarisse | France | 18/07/2024,2024-07-18T12:37:58+0200,pas bien dedans,2/5
Vincent | France | 15/07/2024,2024-07-15T16:20:06+0200,"Comme dans le titre, chaussures pratiques pour de la marche occasionnelle",5/5
CÉLINE | France | 15/07/2024,2024-07-15T12:09:30+0200,"Très bon basket, très confortable",5/5
Audrey | France | 14/07/2024,2024-07-14T23:07:19+0200,Bon produit,5/5
Laetitia | France | 14/07/2024,2024-07-14T22:53:13+0200,Problème de pied j avais un doute sur le fait que c est chaussures me donne la possibilité de faire de la marche plus intense c est gagné pas de douleur pour le moment,5/5
Evelyne | France | 14/07/2024,2024-07-14T21:33:12+0200,Très confortables. Bonne accroche sur chemins.,5/5
Nadège | Femme | France | 14/07/2024,2024-07-14T11:17:48+0200,Les baskets sont confortables et légères. Elles sont faites pour des coureurs occasionnels car l'amorti du talon se tasse avec le temps.,5/5
Ophélie | France | 14/07/2024,2024-07-14T09:59:18+0200,Super pour la marche ou rando facile,5/5
Carole | France | 13/07/2024,2024-07-13T20:41:52+0200,Bon produit,5/5
JOSE | France | 13/07/2024,2024-07-13T18:10:56+0200,Ras,4/5
Aline | France | 13/07/2024,2024-07-13T14:49:26+0200,Ras,5/5
marie | France | 12/07/2024,2024-07-12T23:13:54+0200,qualité satisfaisante,4/5
Sara | France | 12/07/2024,2024-07-12T21:05:46+0200,Bonne basket mais pas résistant (le risque au dessus s’abîme vite),5/5
PHILIPPE | France | 13/07/2024,2024-07-13T16:42:27+0200,Légère,5/5
CAROLE | France | 12/07/2024,2024-07-12T10:26:51+0200,"Bon produit qui va durer longtemps ne l'utilisant que 2 heures par semei,e",4/5
Claude | France | 12/07/2024,2024-07-12T06:14:45+0200,Conforme aux attentes,5/5
aude | France | 12/07/2024,2024-07-12T06:13:11+0200,Très bon produit rapport qualité prix,4/5
Xavier | Homme | France | 11/07/2024,2024-07-11T21:29:32+0200,Très bien,5/5
Céline | France | 11/07/2024,2024-07-11T18:33:30+0200,Très bien pour porter tous les jours Très bien pour ballade ou petites randonnées Pas assez techniques pour de la course à pieds mais pour le prix c est normal Solides et ne se déforment pas facilement,4/5
Benoit | France | 11/07/2024,2024-07-11T16:10:17+0200,bien,4/5
Maurice | France | 11/07/2024,2024-07-11T11:38:46+0200,"J'ai toujours une paire. Dommage que le modèle femme ait toujours du rose. J'ai pris une fois le modèle bleu homme, un peu plus large peut-être mais tout aussi bien.",5/5
Chantal | France | 11/07/2024,2024-07-11T07:39:52+0200,confortables et légères.,5/5
Annabelle | France | 10/07/2024,2024-07-10T18:29:16+0200,Contente,5/5
DIDIER | France | 10/07/2024,2024-07-10T16:53:43+0200,Très bon produit,5/5
laurence | Femme | France | 09/07/2024,2024-07-09T21:46:45+0200,"Jolie couleur et belle harmonie des couleurs, semelle souple, agréable à porter bon amorti",5/5
Karine | France | 10/07/2024,2024-07-10T10:59:05+0200,Bien pour le prix.,3/5
Arnaud | France | 09/07/2024,2024-07-09T10:56:58+0200,"J'ai acheté cette paire de running pour ma fille. Lors de notre passage en magasin, l'affiche vantait l'amorti de la chaussure. Après son premier ""running"", ma fille a confirmé que l'amorti était vraiment bon. Pour le moment, elle en est très satisfaite.",5/5
myriam | France | 08/07/2024,2024-07-08T19:10:21+0200,"Acheté pour ma rééducation, très satisfaite",4/5
Delphine | Femme | France | 08/07/2024,2024-07-08T18:03:01+0200,"Baskets achetées fin mars, les 2 chaussures sont déjà trouées au niveau du gros orteil, très mauvaise conception",1/5
Thierry | Homme | France | 08/07/2024,2024-07-08T12:15:30+0200,LES CHAUSSURES DE RUNNING FEMME KALENJI RUN ACTIVE GRIP GRIS CORAIL sont top acheté pour travail avec les enfants ma compagne les adore elle le porte toujours en salle pour accompagne les enfants merci décathlon,5/5
Juliette | Femme | France | 08/07/2024,2024-07-08T09:39:13+0200,Bonne chaussure mais manque un peu d'amorti,4/5
